,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
3105,tm414584,Rambo: Last Blood,MOVIE,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",2019,R,101,"['drama', 'action', 'crime', 'thriller', 'western']","['US', 'CN']",,tt1206885,6.1,96740.0,88.199,6.5
3106,ts221200,The Haunting of Bly Manor,SHOW,"After an au pair’s tragic death, Henry Wingrave hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the estate’s chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose. But all is not as it seems at the manor, and centuries of dark secrets of love and loss are waiting to be unearthed in this chilling tale.",2020,TV-MA,55,"['thriller', 'drama', 'scifi', 'horror']",['US'],1.0,tt10970552,7.3,99047.0,29.636,7.8
3107,tm817504,1BR,MOVIE,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she think she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment — it chose her.",2019,,90,"['thriller', 'drama', 'horror']",['US'],,tt7541106,5.8,12397.0,15.943,6.1
3108,tm412937,Trading Paint,MOVIE,"A stock car racing legend is drawn back to the dirt track when his son, an aspiring driver, joins a rival racing team.",2019,R,87,"['drama', 'thriller', 'action', 'sport', 'european']","['GB', 'US']",,tt7052494,4.4,1996.0,8.786,5.6
3109,ts237107,Sweet Magnolias,SHOW,"Lifelong friends Maddie, Helen and Dana Sue lift each other as they juggle relationships, family and careers in the small, Southern town of Serenity.",2020,TV-14,50,"['drama', 'romance']",['US'],2.0,tt9077540,7.3,17689.0,17.137,7.9
3110,tm456156,Sweetheart,MOVIE,"Jenn has washed ashore a small tropical island and it doesn’t take her long to realize she’s completely alone. She must spend her days not only surviving the elements, but must also fend off the malevolent force that comes out each night.",2019,PG-13,82,"['horror', 'thriller', 'drama', 'fantasy', 'scifi']",['US'],,tt6560164,5.8,8191.0,12.174000000000001,6.5
3111,tm943790,Summerland,MOVIE,A woman during the Second World War opens her heart to an evacuee after initially resolving to be rid of him.,2020,PG,102,"['romance', 'war', 'drama']",['GB'],,tt6841122,7.0,6827.0,9.77,7.6
3112,tm239927,Official Secrets,MOVIE,The true story of British intelligence whistleblower Katharine Gun who—prior to the 2003 Iraq invasion—leaked a top-secret NSA memo exposing a joint US-UK illegal spying operation against members of the UN Security Council. The memo proposed blackmailing member states into voting for war.,2019,R,112,"['drama', 'thriller', 'history', 'crime', 'war', 'romance']","['GB', 'US']",,tt5431890,7.3,46901.0,13.217,7.249
3113,ts89210,Warrior Nun,SHOW,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns.",2020,TV-MA,43,"['action', 'drama', 'scifi', 'fantasy']",['US'],2.0,tt9059350,6.8,30243.0,45.891000000000005,7.9
3114,tm919961,Pieces of a Woman,MOVIE,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",2020,R,127,['drama'],"['CA', 'HU', 'US']",,tt11161474,7.0,48664.0,10.502,7.098
3115,tm427335,Freaks,MOVIE,"Kept locked inside the house by her father, 7-year-old Chloe lives in fear and fascination of the outside world, where Abnormals create a constant threat—or so she believes. When a mysterious stranger offers her a glimpse of what's really happening outside, Chloe soon finds that while the truth isn't so simple, the danger is very real.",2019,R,105,"['scifi', 'thriller', 'drama']","['US', 'CA']",,tt8781414,6.7,35021.0,56.909,6.8
3116,tm431321,21 Bridges,MOVIE,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",2019,R,99,"['action', 'drama', 'crime', 'thriller']",['US'],,tt8688634,6.6,65845.0,29.285,6.7
3117,tm417553,6 Underground,MOVIE,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019,R,128,"['thriller', 'comedy', 'action']",['US'],,tt8106534,6.1,172083.0,68.45,6.327000000000001
3118,tm821789,Mank,MOVIE,1930s Hollywood is re-evaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,2020,R,131,"['comedy', 'drama']",['US'],,tt10618286,6.8,72295.0,13.068,6.8
3119,tm834851,I Care a Lot,MOVIE,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,2020,R,118,"['drama', 'thriller', 'comedy', 'crime']","['GB', 'US']",,tt9893250,6.3,129321.0,30.191999999999997,6.6
3120,ts223210,Don't F**k with Cats: Hunting an Internet Killer,SHOW,A group of online justice seekers track down a guy who posted a video of him killing kittens.,2019,TV-MA,62,"['documentation', 'crime']",['GB'],1.0,tt11318602,8.0,51559.0,13.548,7.7
3121,ts223548,The Midnight Gospel,SHOW,"Traversing trippy worlds inside his universe simulator, Clancy the space caster explores existential questions about life, death and everything in between.",2020,TV-MA,26,"['comedy', 'animation', 'scifi', 'thriller']",['US'],1.0,,,,27.366,8.3
