,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
547,1154,tm140391,Pan,MOVIE,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",2015,PG,111,"['action', 'fantasy', 'family', 'comedy']","['US', 'GB']",,tt3332064,5.7,63788.0,24.494,6.0,0.23333333333333334
549,1156,tm137869,Wild Card,MOVIE,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.",2015,R,92,"['action', 'thriller', 'crime', 'drama']",['US'],,tt2231253,5.6,55605.0,66.805,5.6,0.46875
555,1162,ts36550,DC's Legends of Tomorrow,SHOW,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",2016,TV-14,42,"['drama', 'action', 'scifi']",['US'],7.0,tt4532368,6.8,101178.0,63.898,7.4,0.5
556,1164,ts41975,Shooter,SHOW,Bob Lee Swagger is an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president.,2016,TV-14,41,"['action', 'war', 'drama']",['US'],3.0,tt4181172,7.5,36165.0,45.055,7.1,0.5
558,1166,ts36015,Into the Badlands,SHOW,"In a land controlled by feudal barons, a great warrior and a young boy embark on a journey across a dangerous land to find enlightenment. 

A genre-bending martial arts series very loosely based on the classic Chinese tale Journey to the West.",2015,TV-14,43,"['action', 'drama']",['US'],3.0,tt3865236,7.9,46030.0,22.624,7.6,0.42857142857142855
563,1171,ts35563,Supergirl,SHOW,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",2015,TV-14,42,"['scifi', 'action', 'drama']",['US'],6.0,tt4016454,6.2,122911.0,91.102,7.3,0.3
567,1176,ts38710,Wynonna Earp,SHOW,Wyatt Earp's great granddaughter Wynonna battles demons and other creatures with her unique abilities and a posse of dysfunctional allies - the only thing that can bring the paranormal to justice.,2016,TV-14,43,"['western', 'action', 'scifi', 'thriller', 'drama', 'fantasy']","['CA', 'US']",4.0,tt4878326,7.3,22565.0,30.342,8.0,0.42857142857142855
571,1180,ts35253,Dark Matter,SHOW,"The six-person crew of a derelict spaceship awakens from stasis in the farthest reaches of space. Their memories wiped clean, they have no recollection of who they are or how they got on board. The only clue to their identities is a cargo bay full of weaponry and a destination: a remote mining colony that is about to become a war zone. With no idea whose side they are on, they face a deadly decision. Will these amnesiacs turn their backs on history, or will their pasts catch up with them?",2015,TV-14,43,"['scifi', 'thriller', 'drama', 'action']",['CA'],3.0,tt4159076,7.5,42177.0,19.743,6.7,0.3333333333333333
572,1181,tm143984,London Has Fallen,MOVIE,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",2016,R,99,"['action', 'thriller', 'drama', 'crime']","['GB', 'US', 'BG']",,tt3300542,5.9,157409.0,47.627,6.145,0.40540540540540543
576,1186,tm120108,Kung Fu Panda 3,MOVIE,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",2016,PG,95,"['action', 'animation', 'family', 'fantasy', 'drama', 'comedy']","['US', 'CN']",,tt2267968,7.1,155678.0,91.033,6.851,0.3783783783783784
