,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
2114,4829,tm1048362,Army of Thieves,MOVIE,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,2021,R,127,"['comedy', 'crime', 'thriller', 'scifi', 'horror', 'romance', 'action']","['DE', 'US']",,tt13024674,6.4,73790.0,157.02100000000004,6.9,0.36363636363636365
2115,4834,ts88578,Firefly Lane,SHOW,"For decades, childhood best friends Kate and Tully have weathered life's storms together -- until a betrayal threatens to break them apart for good.",2021,TV-MA,50,"['drama', 'romance']",['US'],1.0,tt9012876,7.4,20748.0,9.959,7.7,0.42857142857142855
2118,4837,tm1196705,A Perfect Pairing,MOVIE,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,2022,,101,"['comedy', 'romance']","['US', 'AU']",,tt15215512,6.1,9742.0,372.132,6.789,0.48148148148148145
2134,4864,ts321918,Human Resources,SHOW,"Lovebugs, Hormone Monsters and a parade of other creatures juggle romance, workplace drama and their human clients' needs in this ""Big Mouth"" spinoff.",2022,TV-MA,27,"['animation', 'comedy', 'romance']",['US'],1.0,tt11092142,7.2,5579.0,21.344,6.5,0.46153846153846156
2152,4906,tm1120855,Along for the Ride,MOVIE,"The summer before college Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on a nightly quest to help Auden experience the fun, carefree teen life she never knew she wanted.",2022,,106,"['drama', 'romance']",['US'],,tt14506528,6.1,5347.0,158.01,6.6,0.4375
2159,4914,tm1003630,After We Fell,MOVIE,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",2021,R,99,"['romance', 'drama']","['FR', 'US']",,tt13069986,4.6,13221.0,341.55800000000005,7.2,0.47619047619047616
2172,4943,tm981945,The Last Letter From Your Lover,MOVIE,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,2021,,109,"['drama', 'romance']","['GB', 'CA']",,tt1893273,6.6,17099.0,26.67,7.5,0.4594594594594595
2185,4968,tm976166,Malcolm & Marie,MOVIE,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",2021,R,106,"['romance', 'drama']",['US'],,tt12676326,6.6,36395.0,22.675,7.1,0.3333333333333333
2186,4969,tm1141594,Brazen,MOVIE,Mystery writer Grace Miller has killer instincts when it comes to motive - and she'll need every bit of expertise to help solve her sister's murder.,2022,,94,"['thriller', 'romance', 'crime', 'drama']",['US'],,tt13978306,4.1,11753.0,182.054,4.9,0.4444444444444444
2188,4973,tm459789,The Lovebirds,MOVIE,"A couple experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery. As their journey to clear their names takes them from one extreme – and hilarious - circumstance to the next, they must figure out how they, and their relationship, can survive the night.",2021,R,87,"['romance', 'comedy', 'action', 'thriller', 'crime']",['US'],,tt8851668,6.0,25697.0,9.076,5.8,0.4857142857142857
