,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
1968,4321,tm473647,ReMastered: The Lion's Share,MOVIE,"After discovering the family of Solomon Linda, the writer of ""The Lion Sleeps Tonight,"" a reporter tries to help them fight for fair compensation.",2019,PG-13,84,"['music', 'documentation']",['US'],,tt9046576,6.9,637.0,2.952,7.0,0.25
1969,4323,tm452574,"Ray Romano: Right Here, Around the Corner",MOVIE,"Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began.",2019,,58,"['comedy', 'documentation']",['US'],,tt8101766,7.2,1693.0,2.483,6.8,0.0
1972,4342,tm907704,Dark City Beneath the Beat,MOVIE,"Dark City Beneath The Beat is an audiovisual experience that defines the soundscape of Baltimore city. Inspired by an all original Baltimore club music soundtrack, the film spotlights local club artists, DJs, dancers, producers, and Baltimore’s budding creative community as they are realizing their life dreams. Rhythmic and raw, these stories illustrate the unique characteristics of the city’s landscape and social climate through music, poetry, and dance. From the city’s social climate to its creative LGBTQ community, Dark City Beneath The Beat showcases Baltimore club music as a positive subculture in a city overshadowed by trauma, drugs, and violence.",2020,,65,"['documentation', 'music']",['US'],,tt11916314,6.6,141.0,2.303,7.0,0.0
1975,4347,tm887052,Father Soldier Son,MOVIE,"When Sgt. First Class Brian Eisch is critically wounded in Afghanistan, it sets him and his sons on a journey of love, loss, redemption and legacy.",2020,R,99,"['war', 'documentation']",['US'],,tt12187586,7.3,952.0,10.385,6.2,0.3333333333333333
1978,4354,tm841410,Fire in Paradise,MOVIE,"In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became California’s deadliest wildfire.",2019,,39,['documentation'],['US'],,,,,4.532,6.7,0.5
1985,4418,tm983091,The Netflix Afterparty: The Best Shows of The Worst Year,MOVIE,"David Spade, Fortune Feimster and London Hughes welcome guests from Tiger King, Emily in Paris, The Queen's Gambit, and more.",2020,,59,['documentation'],['US'],,,,,1.492,6.0,0.3333333333333333
1986,4438,tm845552,Giving Voice,MOVIE,"Every year, thousands of high schoolers enter the August Wilson monologue competition for a chance to perform on Broadway. This film follows these students, examining how Wilson and his characters speak to a new generation, inspiring them to listen to his words and find their own voice.",2020,PG-13,90,['documentation'],['US'],,,,,2.685,6.3,0.2
1992,4466,tm890479,The Claudia Kishi Club,MOVIE,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short.",2020,,17,['documentation'],['US'],,tt12411586,,,1.135,4.7,0.3333333333333333
1994,4471,tm823459,Léa & I,MOVIE,"Best friends travel though Latin America meeting shamans, experimenting with plant medicines, and wondering about what makes a life well-lived when one of them might have half the time to live it.",2019,,84,['documentation'],['US'],,tt9382396,6.5,215.0,3.1010000000000004,5.9,0.0
1996,4504,tm437379,I'm Leaving Now,MOVIE,"After 16 years in Brooklyn, working three low-paying jobs and sending the bulk of his earnings to his wife and children, undocumented immigrant Felipe decides to return home to his family in Mexico. But when he informs them of his plans, he discovers that they've squandered the money, are deeply in debt and don’t want him to return. They need him to stay in the U.S. and continue to earn.",2019,,74,"['documentation', 'european']","['MX', 'US']",,tt4384500,6.6,111.0,1.517,6.0,0.3333333333333333
1999,4517,tm834121,Birders,MOVIE,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,2019,,37,['documentation'],"['MX', 'US']",,,,,2.7910000000000004,6.8,0.3333333333333333
2000,4518,tm474618,A Tale of Two Kitchens,MOVIE,"Two countries, two restaurants, one vision. At Gabriela Cámara's acclaimed Contramar in Mexico City, the welcoming, uniformed waiters are as beloved by diners as the menu featuring fresh, local seafood caught within 24 hours. The entire staff sees themselves as part of an extended family. Meanwhile at Cala in San Francisco, Cámara hires staff from different backgrounds and cultures, including ex-felons and ex-addicts, who view the work as an important opportunity to grow as individuals. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community.",2019,,29,['documentation'],"['MX', 'US']",,tt10243660,6.5,145.0,2.511,6.6,0.0
2002,4539,tm530822,Carlos Almaraz: Playing with Fire,MOVIE,"Explore the life of Carlos Almaraz, a Chicano activist, sexual outlaw, and visionary painter of some of the most unforgettable images of Southern California.",2019,,82,['documentation'],['US'],,tt6335714,7.5,62.0,0.8959999999999999,7.0,0.14285714285714285
2003,4541,tm467116,Life Overtakes Me,MOVIE,"Hundreds of refugee children in Sweden, who have fled with their families from extreme trauma, have become afflicted with 'uppgivenhetssyndrom,' or Resignation Syndrome. Facing deportation, they withdraw from the world into a coma-like state, as if frozen, for months, or even years.",2019,,39,['documentation'],"['SE', 'US']",,tt9204606,5.0,45.0,8.087,6.4,0.3333333333333333
2005,4557,tm831125,American Factory: A Conversation with the Obamas,MOVIE,Barack and Michelle Obama talk with the directors of the documentary American Factory about the importance of storytelling and the impact of their film.,2019,,10,['documentation'],['US'],,,,,2.344,5.5,0.4
2007,4572,tm461726,Ghosts of Sugar Land,MOVIE,"Shocked when their friend embraces extremism, a group of Muslim Americans in Texas recount their time with him and theories about his fate.",2019,,21,['documentation'],['US'],,,,,3.349,5.8,0.0
2009,4583,tm813075,To Be of Service,MOVIE,"A documentary film about veterans with PTSD who find that, after other treatments fall short, a service dog helps them return to an independent-feeling life.",2019,,88,['documentation'],['US'],,tt10413458,7.3,99.0,1.499,5.7,0.0
2011,4604,tm852207,3 Logical Exits,MOVIE,"A sociological meditation on the different ""exits"" that young Palestinians choose, in order to cope with life in the refugee camps.",2020,,15,['documentation'],"['DK', 'LB', 'GB']",,,,,1.4469999999999998,,0.0
2014,4667,tm472961,After Maria,MOVIE,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,2019,,35,['documentation'],['US'],,,,,1.997,5.5,0.0
2026,4703,tm1226954,Girl in the Picture,MOVIE,"A young mother’s mysterious death and her son’s subsequent kidnapping blow open a decades-long mystery about the woman’s true identity, and the murderous federal fugitive at the center of it all.",2022,R,102,"['documentation', 'crime']",['US'],,tt21059520,7.3,9786.0,219.908,7.1960000000000015,0.42857142857142855
2027,4704,ts356995,How to Change Your Mind,SHOW,"Author Michael Pollan leads the way in this docuseries exploring the history and uses of psychedelics, including LSD, psilocybin, MDMA and mescaline.",2022,TV-MA,54,['documentation'],['US'],1.0,tt21062540,8.2,627.0,19.552,7.0,0.0
2054,4752,ts354073,The Future Of,SHOW,"With the help of industry experts, this innovative docuseries examines new and emerging technological trends to imagine revolutionary possibilities.",2022,TV-14,20,['documentation'],['US'],1.0,tt19895946,4.7,165.0,6.997999999999998,6.6,0.0
2057,4757,ts342732,Our Great National Parks,SHOW,"Narrated by former President Barack Obama, this stunning docuseries shines the spotlight on some of the planet's most spectacular national parks.",2022,TV-PG,52,['documentation'],['US'],1.0,tt18750552,7.9,1684.0,2.583,7.9,0.0
2061,4763,tm937814,The Alpinist,MOVIE,"When filmmaker Peter Mortimer encounters an elusive young climber named Marc-André Leclerc, an evolution in free solo mountaineering unfolds. Along the two-year journey up high alpine peaks and steep frozen waterfalls, Peter explores Marc’s connection to nature, his uncompromising quest for adventure, and the risks he takes to pursue his passion.",2021,PG-13,92,['documentation'],"['AT', 'GB', 'US']",,tt11790780,8.0,8048.0,8.533999999999999,7.7,0.25
2062,4764,ts320073,Attack on Pearl Harbor: Minute by Minute,SHOW,Covers the 1941 Japanese military strike on a Hawaiian naval base in never before seen detail.,2021,TV-14,45,"['documentation', 'history']",['GB'],1.0,tt16348586,7.5,68.0,3.377,,0.0
2067,4774,tm1196288,Our Father,MOVIE,"After a woman's at-home DNA test reveals multiple half-siblings, she discovers a shocking scheme involving donor sperm and a popular fertility doctor.",2022,,97,"['crime', 'documentation']",['US'],,tt19704638,6.5,9889.0,42.481,6.5,0.3333333333333333
2070,4778,ts346959,Meltdown: Three Mile Island,SHOW,"Insiders recount the events, controversies and lingering effects of the accident at the Three Mile Island nuclear power plant in Pennsylvania.",2022,TV-14,44,"['documentation', 'history']",['US'],1.0,tt19758756,6.9,3115.0,2.873,6.4,0.5
2077,4787,tm1209228,Norm Macdonald: Nothing Special,MOVIE,"In his final comedy special, Norm Macdonald ponders casinos, cannibalism, living wills and why you have to be ready for whatever life throws your way, all done in front of a camera, without an audience, and in one take. After his set, Norm's friends and fellow comics gather to salute him.",2022,R,87,"['comedy', 'documentation']",['US'],,tt20201450,7.6,1466.0,4.061,6.2,0.2222222222222222
2080,4795,ts355168,The Hidden Lives of Pets,SHOW,Bow wows and purr-fect pets. Meet amazing creatures from around the world and dig into the latest science on our animal friends' senses and skills.,2022,,32,['documentation'],['GB'],1.0,tt20560384,7.4,339.0,7.587999999999999,7.7,0.0
2082,4799,ts311987,Bad Vegan: Fame. Fraud. Fugitives.,SHOW,"After marrying a mysterious man who claimed he could make her dog immortal, a celebrated vegan restaurateur finds her life veering off the rails.",2022,TV-MA,52,"['documentation', 'crime']",['US'],1.0,tt18260538,5.8,6134.0,3.403,5.3,0.36363636363636365
2087,4808,tm1195971,Jennifer Lopez:  Halftime,MOVIE,Global superstar Jennifer Lopez reflects on her multifaceted career and the pressure of life in the spotlight in this intimate documentary.,2022,,95,"['music', 'documentation']",['US'],,tt19637852,6.5,3980.0,149.855,6.935,0.47058823529411764
2090,4812,ts269179,The G Word with Adam Conover,SHOW,"Love it or hate it, the government plays a huge role in our lives. Adam Conover explores its triumphs, failures and how we might be able to change it.",2022,TV-MA,30,"['documentation', 'comedy']",['US'],1.0,tt13649532,6.7,682.0,4.603,5.5,0.2222222222222222
2095,4817,tm1022953,Who We Are: A Chronicle of Racism in America,MOVIE,"Jeffery Robinson's talk on the history of U.S. anti-Black racism, with archival footage and interviews.",2022,PG-13,117,['documentation'],['US'],,tt14030682,6.2,715.0,3.747,4.7,0.5
2103,4827,ts273436,Murder Among the Mormons,SHOW,High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.,2021,TV-14,53,"['documentation', 'crime', 'history']",['US'],1.0,tt13987620,7.0,6309.0,6.871,7.3,0.2857142857142857
2110,4840,tm1138477,Downfall: The Case Against Boeing,MOVIE,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.,2022,R,89,['documentation'],['US'],,tt11893274,7.4,10313.0,25.636,7.2,0.0
2112,4843,tm1119272,14 Peaks: Nothing Is Impossible,MOVIE,"In 2019, Nepalese mountain climber Nirmal “Nims” Purja set out to do the unthinkable by climbing the world’s fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort “Project Possible 14/7” and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance.",2021,,101,"['documentation', 'sport']",['US'],,tt14079374,7.7,24213.0,22.226,7.5,0.3333333333333333
2117,4851,ts282131,Attenborough's Life in Colour,SHOW,Exploring the vital role colour plays in the daily lives of many species.,2021,TV-PG,51,['documentation'],['GB'],1.0,tt11053426,8.2,3238.0,6.232,7.7,0.0
2122,4858,tm1185367,White Hot: The Rise & Fall of Abercrombie & Fitch,MOVIE,All the cool kids were wearing it. This documentary explores A&F's pop culture reign in the late '90s and early 2000s and how it thrived on exclusion.,2022,R,88,['documentation'],['US'],,tt19034522,5.7,4124.0,5.038,5.9,0.16666666666666666
2123,4859,ts311989,jeen-yuhs,SHOW,"Kanye West docu-series, over 20 years in the making",2022,TV-MA,93,"['documentation', 'music']",['US'],1.0,tt14599438,8.0,8319.0,3.852,7.1,0.0
2125,4867,tm983723,The Sparks Brothers,MOVIE,"Take a musical odyssey through five weird and wonderful decades with brothers Ron & Russell Mael, celebrating the inspiring legacy of Sparks: your favorite band’s favorite band.",2021,R,140,"['documentation', 'music', 'comedy', 'history']","['GB', 'US']",,tt8610436,7.8,4663.0,6.784,7.3,0.30120481927710846
2128,4874,ts329699,The Andy Warhol Diaries,SHOW,"After he's shot in 1968, Andy Warhol begins documenting his life and feelings. Those diaries, and this series, reveal the secrets behind his persona.",2022,TV-MA,66,['documentation'],['US'],1.0,tt18082212,7.7,1844.0,1.844,7.6,0.5
2129,4875,tm1150385,The Tinder Swindler,MOVIE,"Posing as a wealthy, jet-setting diamond mogul, an Israeli conman wooed women online then conned them out of millions of dollars. Now some victims plan for payback.",2022,,114,"['documentation', 'crime']",['GB'],,tt14992922,7.2,61809.0,41.44300000000001,7.061,0.5
