,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
961,1896,ts82302,Insatiable,SHOW,"A bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head.",2018,TV-MA,46,"['drama', 'comedy', 'thriller']",['US'],2.0,tt6487482,6.5,28006.0,81.348,7.9,0.5
962,1897,tm245176,Sand Castle,MOVIE,"Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village.",2017,,113,"['war', 'action', 'drama']","['IQ', 'GB']",,tt2582576,6.3,23158.0,27.077,6.5,0.30434782608695654
963,1900,tm240076,Buster's Mal Heart,MOVIE,An eccentric mountain man on the run from the local sheriff recalls the mysterious events that brought him to his present fugitive state.,2017,,96,"['drama', 'thriller', 'crime']",['US'],,tt5173032,6.2,10490.0,6.82,6.2,0.46153846153846156
965,1903,tm423436,Ben Is Back,MOVIE,"19-year-old Ben Burns unexpectedly returns home to his family's suburban home on Christmas Eve morning. Ben's mother, Holly, is relieved and welcoming but wary of her son staying clean. Over a turbulent 24 hours, new truths are revealed, and a mother's undying love for her son is tested as she does everything in her power to keep him safe.",2018,R,103,"['drama', 'european']",['US'],,tt7545524,6.7,21735.0,12.478,6.6,0.4117647058823529
966,1906,tm368449,Private Life,MOVIE,"Richard and Rachel, a couple in the throes of infertility, try to maintain their marriage as they descend deeper and deeper into the insular world of assisted reproduction and domestic adoption.",2018,R,123,"['comedy', 'drama']",['US'],,tt6394284,7.2,19023.0,7.974,7.0,0.30434782608695654
967,1908,tm349278,Ravenous,MOVIE,"In an isolated rural community of Quebec, Canada, some inhabitants attack other people, hungry for human flesh. A few survivors gather and go deep into the forest to escape them.",2017,,103,"['drama', 'scifi', 'horror', 'thriller', 'action']",['CA'],,tt6243140,5.8,9205.0,10.328,5.8,0.38461538461538464
970,1911,ts57303,Friends from College,SHOW,"Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.",2017,TV-MA,30,"['comedy', 'drama']",['US'],2.0,tt5565334,6.9,20555.0,6.9060000000000015,6.5,0.5
971,1912,tm310899,Mary Magdalene,MOVIE,"In the first century, free-spirited Mary Magdalene flees the marriage her family has arranged for her, finding refuge and a sense of purpose in a radical new movement led by the charismatic, rabble-rousing preacher named Jesus.",2018,R,120,"['drama', 'history']","['US', 'AU', 'GB']",,tt5360996,5.9,10364.0,54.725,6.3,0.2857142857142857
973,1915,tm417496,Dumplin',MOVIE,"To prove a point about measuring up and fitting in, Texas teen Willowdean “Dumplin’” Dickson enters a local pageant run by her ex-beauty queen mom.",2018,PG-13,110,"['comedy', 'drama']",['US'],,tt4878482,6.5,33689.0,11.4,6.8,0.375
975,1917,ts79660,Creeped Out,SHOW,"A masked figure known as ""The Curious"" collects tales of dark magic, otherworldly encounters and twisted technology in this kids anthology series.",2017,TV-PG,26,"['scifi', 'thriller', 'family', 'fantasy', 'action', 'crime', 'drama', 'history', 'horror']","['CA', 'GB']",2.0,tt7573024,6.6,1890.0,24.556,7.3,0.0
