,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
1124,2179,tm420656,Reprisal,MOVIE,"Jacob, a bank manager haunted by a violent heist that took the life of a coworker, teams up with his ex-cop neighbor, James, to bring down the assailant. While the two men work together to figure out the thief’s next move, Gabriel, the highly-trained criminal, is one step ahead. When Gabriel kidnaps Jacob’s wife and daughter, Jacob barrels down a path of bloodshed that initiates an explosive counterattack and brings all three men to the breaking point.",2018,R,89,"['action', 'thriller', 'crime', 'drama']","['GB', 'US']",,tt6547170,4.2,7504.0,13.316,5.3,0.2857142857142857
1129,2186,ts86949,The A List,SHOW,"Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama.",2018,TV-PG,27,"['drama', 'thriller', 'family', 'crime']",['GB'],2.0,tt9185110,5.3,2904.0,11.645,6.8039999999999985,0.3333333333333333
1157,2233,ts77545,Dope,SHOW,"Filmed from the perspectives of dealers, users and the police, this vivid series offers a bracing look at the war on drugs.",2017,TV-MA,44,"['documentation', 'crime', 'war', 'thriller', 'comedy', 'drama']",['US'],3.0,tt6545162,7.3,1658.0,15.736,7.2,0.0
1159,2236,tm359713,El Camino Christmas,MOVIE,"A young man seeking a father he has never met, through no fault of his own, ends up barricaded in a liquor store with five other people on Christmas Eve in the fictitious town of El Camino, NV.",2017,,89,"['comedy', 'drama', 'crime', 'western']",['US'],,tt3255590,5.7,8830.0,8.462,5.6,0.3793103448275862
1170,2262,tm839847,WHAT DID JACK DO?,MOVIE,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey  who is suspected of murder.",2017,,17,['crime'],['US'],,,,,5.246,6.4,0.2
1174,2275,tm515157,Point Blank,MOVIE,A top spy must clear his name when he faces military sanctions.,2017,NC-17,86,"['action', 'thriller', 'crime', 'drama']",['US'],,tt2499472,5.7,14324.0,12.985,6.1,0.41935483870967744
1177,2279,tm306811,Casting JonBenet,MOVIE,"Twenty years after the modern world's most notorious child murder, the legacy of the crime and its impact are explored.",2017,,81,"['documentation', 'crime', 'drama']","['US', 'AU']",,tt6333052,6.1,5426.0,12.107,5.8,0.42857142857142855
1179,2281,tm307612,Strong Island,MOVIE,"Examining the violent death of the filmmaker’s brother and the judicial system that allowed his killer to go free, this documentary interrogates murderous fear and racialized perception, and re-imagines the wreckage in catastrophe’s wake, challenging us to change.",2017,,107,"['documentation', 'crime']",['US'],,tt5873150,6.4,3892.0,4.287,6.3,0.375
1185,2296,ts79219,Flint Town,SHOW,"Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",2018,TV-MA,42,"['documentation', 'crime', 'action']",['US'],1.0,tt8004578,7.8,3713.0,2.166,7.5,0.3333333333333333
1186,2305,tm365122,Benji,MOVIE,"Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.",2018,PG,87,"['drama', 'crime', 'family']","['US', 'AE']",,tt1799516,6.3,4774.0,17.811,7.0,0.20833333333333334
